multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
288937,45272,M13,63,M,Omniscience,{7}{U}{U}{U},10.0,Enchantment,Jason Chan,6.71,27.99,5.08,1.18,https://img.scryfall.com/cards/large/en/m13/63.jpg?1517813031,https://scryfall.com/card/m13/63/omniscience
461171,72094,WAR,244,R,Blast Zone,"",0.0,Land,Chris Ostrowski,6.69,21.14,5.41,6.01,https://img.scryfall.com/cards/large/front/e/a/ea6bc7d5-e8f6-4103-920c-9f7ec5cd6c28.jpg?1555741508,https://scryfall.com/card/war/244/blast-zone
447348,68585,M19,212,M,"Arcades, the Strategist",{1}{G}{W}{U},4.0,Legendary Creature — Elder Dragon,Even Amundsen,6.28,16.6,4.55,0.88,https://img.scryfall.com/cards/large/en/m19/212.jpg?1531451114,https://scryfall.com/card/m19/212/arcades-the-strategist
461090,71932,WAR,163,M,God-Eternal Rhonas,{3}{G}{G},5.0,Legendary Creature — Zombie God,Lius Lasahido,6.25,14.41,5.63,3.03,https://img.scryfall.com/cards/large/front/0/e/0eb444f0-69cc-47c8-8cd6-1f9edad5d903.jpg?1555741077,https://scryfall.com/card/war/163/god-eternal-rhonas
435346,65400,XLN,191,R,"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",{2}{G},3.0,Legendary Enchantment // Legendary Land,Grzegorz Rutkowski,6.25,13.39,4.11,0.02,https://img.scryfall.com/cards/large/en/xln/191a.jpg?1527430399,https://scryfall.com/card/xln/191/growing-rites-of-itlimoc-itlimoc-cradle-of-the-sun
452819,69511,GRN,69,M,Doom Whisperer,{3}{B}{B},5.0,Creature — Nightmare Demon,Vincent Proce,6.16,14.19,5.27,4.04,https://img.scryfall.com/cards/large/front/0/a/0a11ee0d-ff8d-4648-8b4e-29440c135c30.jpg?1538879006,https://scryfall.com/card/grn/69/doom-whisperer
447215,68319,M19,79,M,"Tezzeret, Artifice Master",{3}{U}{U},5.0,Legendary Planeswalker — Tezzeret,Josh Hass,6.12,12.92,4.98,0.2,https://img.scryfall.com/cards/large/en/m19/79.jpg?1531451580,https://scryfall.com/card/m19/79/tezzeret-artifice-master
221920,41221,M12,226,R,Drowned Catacomb,"",0.0,Land,Dave Kendall,6.1,8.14,3.92,0.22,https://img.scryfall.com/cards/large/en/m12/226.jpg?1517813031,https://scryfall.com/card/m12/226/drowned-catacomb
439807,66753,RIX,150,R,Wayward Swordtooth,{2}{G},3.0,Creature — Dinosaur,Chris Rahn,6.1,9.03,3.82,0.25,https://img.scryfall.com/cards/large/front/3/5/351e8b1b-4e4e-4ffc-a134-3cf0e2a1dd6d.jpg?1555040769,https://scryfall.com/card/rix/150/wayward-swordtooth
460929,71610,WAR,2,R,"Ugin, the Ineffable",{6},6.0,Legendary Planeswalker — Ugin,Daarken,5.98,27.89,3.66,1.8,https://img.scryfall.com/cards/large/front/7/b/7b003521-3da3-41bf-9765-36630653f902.jpg?1555740229,https://scryfall.com/card/war/2/ugin-the-ineffable
241988,42670,ISD,241,R,Hinterland Harbor,"",0.0,Land,Karl Kopinski,5.86,8.28,3.98,0.16,https://img.scryfall.com/cards/large/front/7/2/72f15306-56fe-4643-bb4c-4c7c12378d01.jpg?1545409087,https://scryfall.com/card/isd/241/hinterland-harbor
