multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
194979,33935,V09,15,M,Trinisphere,{3},3.0,Artifact,Tim Hildebrandt,,26.34,15.78,,https://img.scryfall.com/cards/large/en/v09/15.jpg?1517813031,https://scryfall.com/card/v09/15/trinisphere
383385,53756,M15,211,M,Sliver Hivelord,{W}{U}{B}{R}{G},5.0,Creature,Aleksi Briclot,26.33,43.2,12.77,1.36,https://img.scryfall.com/cards/large/en/m15/211.jpg?1517813031,https://scryfall.com/card/m15/211/sliver-hivelord
373556,50312,THS,135,M,"Purphoros, God of the Forge",{3}{R},4.0,Creature,Eric Deschamps,26.19,36.36,15.02,1.48,https://img.scryfall.com/cards/large/en/ths/135.jpg?1517813031,https://scryfall.com/card/ths/135/purphoros-god-of-the-forge
386627,54196,KTK,239,R,Polluted Delta,"",0.0,Land,Vincent Proce,26.07,51.46,16.03,6.27,https://img.scryfall.com/cards/large/en/ktk/239.jpg?1535416225,https://scryfall.com/card/ktk/239/polluted-delta
212249,38347,SOM,79,M,"Skithiryx, the Blight Dragon",{3}{B}{B},5.0,Creature,Chippy,25.99,73.55,14.5,0.25,https://img.scryfall.com/cards/large/en/som/79.jpg?1517813031,https://scryfall.com/card/som/79/skithiryx-the-blight-dragon
146729,29479,SHM,280,R,Sunken Ruins,"",0.0,Land,Warren Mahy,25.77,39.63,12.23,0.43,https://img.scryfall.com/cards/large/en/shm/280.jpg?1535415586,https://scryfall.com/card/shm/280/sunken-ruins
382398,,CNS,206,R,Vedalken Orrery,{4},4.0,Artifact,John Avon,25.72,41.11,12.32,,https://img.scryfall.com/cards/large/en/cns/206.jpg?1517813031,https://scryfall.com/card/cns/206/vedalken-orrery
380374,52106,JOU,146,M,"Athreos, God of Passage",{1}{W}{B},3.0,Creature,Ryan Barger,25.6,63.14,21.29,1.89,https://img.scryfall.com/cards/large/en/jou/146.jpg?1517813031,https://scryfall.com/card/jou/146/athreos-god-of-passage
153455,28777,LRW,268,R,Gilt-Leaf Palace,"",0.0,Land,Christopher Moeller,25.5,69.99,11.86,0.23,https://img.scryfall.com/cards/large/en/lrw/268.jpg?1517813031,https://scryfall.com/card/lrw/268/gilt-leaf-palace
425692,63020,AER,185,M,"Ajani, Valiant Protector",{4}{G}{W},6.0,Planeswalker,Anna Steinbauer,24.99,2.76,4.3,,https://img.scryfall.com/cards/large/en/aer/185.jpg?1517813031,https://scryfall.com/card/aer/185/ajani-valiant-protector
370424,49054,MMA,219,R,Academy Ruins,"",0.0,Land,Zoltan Boros & Gabor Szikszai,24.98,40.55,14.92,0.57,https://img.scryfall.com/cards/large/en/mma/219.jpg?1517813031,https://scryfall.com/card/mma/219/academy-ruins
386537,54194,KTK,233,R,Flooded Strand,"",0.0,Land,Andreas Rocha,24.98,38.12,14.49,5.29,https://img.scryfall.com/cards/large/en/ktk/233.jpg?1535416226,https://scryfall.com/card/ktk/233/flooded-strand
